"item_A","item_B","item_C","lon","lat","start","end","overall_pos","overall_neg"
"SARI-Nan","SARI-Nyumingre (Obare)","CRI-Apomuden","-0.5281696","10.43057","2020-07-01 17:54:34","2020-12-28 08:11:23","B","C"
"SARI-Janlow","SARI-Nyoriberi-gu","SARI-Nan","-0.5281557","10.43062","2020-07-01 18:00:34","2020-12-28 08:18:06","A","C"
"SARI-Tiemeh","SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","-0.5279235","10.43051","2020-07-01 17:39:06","2020-12-28 08:56:14","A","B"
"CRI-Ligri","PGN16021-39","SARI-Diedi","-0.5279677","10.43054","2020-07-21 09:59:57","2020-12-28 09:08:54","A","C"
"CRI-Apomuden","CRI-Okumkum","SARI-Tiemeh","-0.5279145","10.43055","2020-07-01 17:43:36","2020-12-28 09:19:55","A","B"
"SARI-Nyumingre (Obare)","SARI-Suyolo","CRI-Ligri","-0.5280501","10.43053","2020-07-01 17:58:20","2020-12-28 08:51:26","C","A"
"CRI-Dadanyuie","SARI-Nan","PG17362-N1","-0.5279998","10.43046","2020-07-10 08:41:05","2020-12-28 09:11:44","B","C"
"SARI-Tiemeh","PG17265-N1","PGN16021-39","-0.52798","10.4305","2020-07-21 09:58:26","2020-12-28 09:23:23","A","C"
"PG17265-N1","CRI-Apomuden","SARI-Janlow","-0.5280861","10.43043","2020-07-21 10:08:38","2020-12-28 09:02:55","A","C"
"SARI-Nyoriberi-gu","CRI-Ligri","SARI-Nan","-0.2954621","10.43609","2020-07-01 15:09:03","2020-12-19 08:10:07","A","B"
"SARI-Nyumingre (Obare)","PGN16021-39","SARI-Nyoriberi-gu","-0.2954554","10.43613","2020-07-21 08:51:33","2020-12-19 08:45:01","B","C"
"CRI-Okumkum","SARI-Nyoriberi-gu","SARI-Janlow","-0.2954697","10.4361","2020-07-03 10:49:53","2020-12-19 07:44:42","C","A"
"SARI-Suyolo","SARI-Diedi","SARI-Nyumingre (Obare)","-0.2954949","10.43611","2020-07-01 15:23:44","2020-12-19 08:18:49","C","B"
"PG17362-N1","SARI-Janlow","CRI-Apomuden","-0.295445","10.43608","2020-07-09 13:34:02","2020-12-19 08:38:56","C","A"
"SARI-Nan","SARI-Tiemeh","CRI-Ligri","-0.2954947","10.43612","2020-07-01 14:49:43","2020-12-19 07:54:53","B","A"
"SARI-Janlow","CRI-Dadanyuie","SARI-Suyolo","-0.2954688","10.43616","2020-07-01 15:13:26","2020-12-19 08:04:33","B","C"
"CRI-Apomuden","SARI-Nyoriberi-gu","CRI-Okumkum","-0.2953814","10.43619","2020-07-01 15:29:07","2020-12-19 09:02:44","C","A"
"PG17265-N1","SARI-Diedi","SARI-Suyolo","-0.2954572","10.43608","2020-07-01 15:04:55","2020-12-19 08:54:08","B","A"
"SARI-Tiemeh","CRI-Dadanyuie","SARI-Nyumingre (Obare)","-0.3188542","10.46547","2020-07-01 13:41:12","2020-11-29 07:36:49","A","B"
"CRI-Ligri","PG17265-N1","SARI-Tiemeh","-0.318938","10.46547","2020-06-13 09:43:28","2020-11-29 07:59:44","C","A"
"SARI-Nan","CRI-Okumkum","PGN16021-39","-0.3189681","10.46538","2020-07-21 09:29:39","2020-11-29 08:23:28","C","B"
"CRI-Dadanyuie","SARI-Tiemeh","SARI-Janlow","-0.3188675","10.46543","2020-07-01 13:57:42","2020-11-29 08:19:29","A","C"
"SARI-Nyumingre (Obare)","CRI-Apomuden","SARI-Diedi","-0.3188504","10.46546","2020-07-01 14:01:49","2020-11-29 08:13:23","A","B"
"SARI-Nan","SARI-Suyolo","CRI-Okumkum","-0.3188858","10.46542","2020-07-01 14:05:41","2020-11-29 08:27:35","C","B"
"PG17265-N1","CRI-Okumkum","SARI-Nyumingre (Obare)","-0.3189449","10.46547","2020-07-21 09:33:16","2020-11-29 08:05:40","A","C"
"CRI-Apomuden","SARI-Nyoriberi-gu","CRI-Dadanyuie","-0.3188194","10.46544","2020-07-01 13:53:15","2020-11-29 08:31:20","C","A"
"SARI-Tiemeh","SARI-Suyolo","PG17265-N1","-0.3188891","10.46542","2020-07-01 13:47:51","2020-11-29 07:53:35","A","C"
"PGN16021-39","CRI-Ligri","CRI-Apomuden","-0.4078816","10.46975","2020-07-21 07:21:55","2020-12-29 08:49:54","C","A"
"CRI-Dadanyuie","SARI-Nan","SARI-Janlow","-0.4080714","10.4697","2020-07-01 15:49:09","2020-12-29 08:35:21","C","B"
"SARI-Suyolo","PGN16021-39","SARI-Tiemeh","-0.4079084","10.46966","2020-07-21 07:18:55","2020-12-29 08:27:05","B","C"
"CRI-Okumkum","CRI-Apomuden","SARI-Diedi","-0.4076977","10.47351","2020-07-01 15:25:20","2020-12-29 09:16:28","B","A"
"SARI-Janlow","SARI-Nyumingre (Obare)","SARI-Suyolo","-0.4084362","10.47269","2020-07-01 15:29:51","2020-12-29 09:25:40","B","C"
"SARI-Nyoriberi-gu","CRI-Okumkum","CRI-Ligri","-0.4076502","10.4724","2020-07-01 15:33:48","2020-12-29 09:08:21","A","C"
"SARI-Diedi","PG17265-N1","CRI-Dadanyuie","-0.4079608","10.46976","2020-07-01 15:41:22","2020-12-29 08:42:01","A","B"
"SARI-Tiemeh","PG17265-N1","CRI-Okumkum","-0.4079298","10.46971","2020-07-01 15:52:32","2020-12-29 08:53:14","A","C"
"SARI-Nyumingre (Obare)","CRI-Ligri","CRI-Apomuden","-0.4061606","10.47443","2020-07-01 15:57:59","2020-12-29 09:38:24","B","A"
"SARI-Nan","CRI-Dadanyuie","SARI-Nyoriberi-gu","-0.4066885","10.46957","2020-07-01 15:44:47","2020-12-29 09:51:54","A","B"
"SARI-Tiemeh","SARI-Nan","SARI-Janlow","-0.3287841","10.41814","2020-07-01 16:08:16","2020-11-26 07:57:33","A","C"
"PGN16021-39","SARI-Suyolo","CRI-Apomuden","-0.3287972","10.41817","2020-07-21 08:13:08","2020-11-26 07:22:46","B","C"
"CRI-Okumkum","SARI-Diedi","SARI-Nan","-0.3288145","10.41816","2020-07-01 16:24:32","2020-11-26 07:36:04","B","C"
"PGN16021-39","SARI-Nyoriberi-gu","SARI-Tiemeh","-0.5140854","10.40312","2020-07-21 10:27:02","2020-12-28 10:16:08","C","B"
"SARI-Diedi","SARI-Janlow","CRI-Ligri","-0.5100733","10.40497","2020-07-02 15:30:51","2020-12-28 10:59:52","C","A"
"SARI-Nyumingre (Obare)","SARI-Nan","PGN16021-39","-0.5110688","10.40281","2020-07-21 10:28:35","2020-12-28 09:42:56","C","A"
"SARI-Diedi","SARI-Nyumingre (Obare)","SARI-Janlow","-0.5110188","10.40283","2020-07-02 14:46:03","2020-12-28 09:38:53","C","A"
"SARI-Janlow","SARI-Nyoriberi-gu","PG17265-N1","-0.5104035","10.40372","2020-07-21 10:30:32","2020-12-28 09:51:25","C","A"
"SARI-Tiemeh","CRI-Dadanyuie","SARI-Suyolo","-0.5119283","10.40236","2020-07-02 15:15:00","2020-12-28 10:34:59","C","B"
"CRI-Ligri","PG17265-N1","SARI-Nyumingre (Obare)","-0.5119557","10.40232","2020-07-02 14:49:38","2020-12-28 10:33:11","C","B"
"SARI-Nan","PGN16021-39","SARI-Tiemeh","-0.5105557","10.40168","2020-07-21 10:32:06","2020-12-28 10:46:11","B","A"
"SARI-Suyolo","CRI-Apomuden","SARI-Diedi","-0.514054","10.40311","2020-07-02 14:53:01","2020-12-28 10:20:09","C","B"
"CRI-Apomuden","CRI-Dadanyuie","CRI-Ligri","-0.5154026","8.538001","2020-08-08 12:09:50","2020-12-03 21:57:59","B","A"
"SARI-Janlow","SARI-Suyolo","SARI-Tiemeh","-0.5154026","8.538001","2020-08-06 12:01:16","2020-12-03 21:20:03","A","B"
"SARI-Nyoriberi-gu","SARI-Diedi","SARI-Nan","-0.5145914","8.546224","2020-08-08 12:32:33","2020-12-03 21:54:56","B","C"
"CRI-Dadanyuie","SARI-Nyoriberi-gu","SARI-Nyumingre (Obare)","-0.510307","8.550173","2020-08-08 11:40:41","2020-12-03 21:23:30","A","B"
"SARI-Nan","SARI-Diedi","SARI-Suyolo","-0.5154026","8.538001","2020-08-05 12:54:44","2020-12-03 21:09:15","C","B"
"CRI-Ligri","SARI-Tiemeh","SARI-Nyumingre (Obare)","-0.5154026","8.538001","2020-08-08 12:02:30","2020-12-03 09:42:04","A","C"
"SARI-Nan","SARI-Janlow","CRI-Apomuden","-2.471378","9.068025","2020-09-14 17:43:50","2020-12-12 17:06:59","B","C"
"CRI-Okumkum","SARI-Nyumingre (Obare)","CRI-Ligri","-0.5154026","8.538001","2020-08-08 11:58:41","2020-12-03 21:13:38","B","C"
"SARI-Nyoriberi-gu","CRI-Ligri","SARI-Janlow","-0.5128548","8.544087","2020-08-05 13:46:03","2020-12-04 06:20:14","A","C"
"SARI-Tiemeh","CRI-Dadanyuie","SARI-Janlow","-0.5154026","8.538001","2020-08-08 11:45:53","2020-12-03 22:05:31","B","A"
"SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","SARI-Nan","-2.456985","9.227147","2020-09-15 17:00:40","2020-12-02 09:15:40","C","A"
"CRI-Dadanyuie","SARI-Suyolo","SARI-Nyoriberi-gu","-2.486813","9.066917","2020-09-14 16:48:32","2020-12-11 07:40:23","B","C"
"SARI-Nan","SARI-Nyumingre (Obare)","SARI-Tiemeh","-2.449282","9.217592","2020-09-17 10:56:43","2020-12-12 09:35:34","B","A"
"CRI-Apomuden","CRI-Ligri","CRI-Okumkum","-2.462423","9.217298","2020-09-15 16:23:09","2020-12-02 11:44:20","A","B"
"CRI-Ligri","SARI-Nan","SARI-Diedi","-2.462352","9.218012","2020-09-15 15:59:26","2020-12-12 10:41:52","B","A"
"SARI-Nyumingre (Obare)","CRI-Apomuden","CRI-Dadanyuie","-2.456968","9.227022","2020-09-15 17:02:59","2020-12-02 09:59:40","C","A"
"SARI-Tiemeh","SARI-Nyoriberi-gu","CRI-Okumkum","-2.468895","9.224617","2020-09-17 08:43:05","2020-12-12 10:30:19","B","C"
"SARI-Janlow","SARI-Suyolo","CRI-Ligri","-2.457038","9.226925","2020-09-15 17:09:54","2020-12-02 10:38:07","A","B"
"SARI-Nyoriberi-gu","SARI-Janlow","CRI-Apomuden","-0.5154026","8.538001","2020-08-08 12:04:55","2020-12-03 22:01:02","C","B"
"CRI-Dadanyuie","SARI-Diedi","SARI-Tiemeh","-0.5154026","8.538001","2020-08-08 12:35:23","2020-12-03 21:50:35","B","A"
"SARI-Janlow","CRI-Dadanyuie","SARI-Nyumingre (Obare)","-1.80355","9.065149","2020-08-05 12:51:54","2020-11-20 08:39:13","C","B"
"CRI-Okumkum","SARI-Diedi","SARI-Nyoriberi-gu","-1.811323","9.070746","2020-08-05 12:36:26","2020-12-19 10:42:58","C","B"
"SARI-Nan","SARI-Nyumingre (Obare)","SARI-Suyolo","-1.80355","9.065149","2020-08-05 11:23:37","2020-11-20 07:08:50","B","C"
"CRI-Apomuden","SARI-Tiemeh","SARI-Suyolo","-2.472973","9.06831","2020-09-14 17:52:38","2020-12-12 17:19:35","C","B"
"CRI-Ligri","SARI-Nan","SARI-Nyoriberi-gu","-2.487035","9.066395","2020-09-14 15:36:46","2020-12-07 10:05:50","A","B"
"SARI-Tiemeh","CRI-Okumkum","CRI-Dadanyuie","-2.456995","9.226938","2020-09-15 17:05:24","2020-12-02 10:28:21","B","C"
"SARI-Janlow","CRI-Okumkum","CRI-Dadanyuie","-2.4571","9.227022","2020-09-15 17:07:44","2020-12-02 10:33:30","C","B"
"CRI-Okumkum","CRI-Ligri","SARI-Diedi","-2.457052","9.226872","2020-09-15 17:11:36","2020-12-02 10:46:29","A","C"
"SARI-Janlow","SARI-Nyumingre (Obare)","CRI-Ligri","-2.463797","9.154922","2020-09-21 10:01:42","2020-12-12 11:59:59","C","A"
"SARI-Janlow","SARI-Tiemeh","CRI-Okumkum","-1.060978","10.89545","2020-08-12 14:10:42","2020-11-23 12:58:48","B","C"
"SARI-Suyolo","CRI-Ligri","SARI-Diedi","-1.060952","10.89547","2020-08-09 08:30:36","2020-11-23 13:20:09","B","C"
"SARI-Tiemeh","SARI-Suyolo","CRI-Apomuden","-1.078662","10.8858","2020-08-19 10:55:21","2020-11-24 09:43:24","B","C"
"SARI-Nan","CRI-Okumkum","SARI-Nyumingre (Obare)","-1.06071","10.89572","2020-08-05 17:52:14","2020-11-23 14:11:39","B","C"
"CRI-Dadanyuie","SARI-Janlow","SARI-Nyoriberi-gu","-1.064577","10.91015","2020-08-03 12:41:32","2020-11-23 11:04:32","B","A"
"CRI-Ligri","SARI-Nyumingre (Obare)","SARI-Suyolo","-1.078785","10.88589","2020-08-17 10:59:39","2020-11-24 09:48:58","B","C"
"CRI-Okumkum","SARI-Nan","CRI-Ligri","-1.055612","10.9032","2020-08-03 12:24:12","2020-11-23 12:09:05","B","C"
"SARI-Tiemeh","SARI-Nyumingre (Obare)","CRI-Apomuden","-1.065728","10.89549","2020-08-12 15:37:21","2020-11-11 07:27:42","C","A"
"SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","CRI-Okumkum","-1.064658","10.91026","2020-08-03 13:09:04","2020-11-23 11:32:39","B","C"
"SARI-Nan","CRI-Apomuden","SARI-Diedi","-1.060913","10.89543","2020-08-06 18:11:55","2020-11-23 13:24:50","B","C"
"SARI-Janlow","SARI-Nyumingre (Obare)","SARI-Tiemeh","-0.82259","10.8174","2020-08-03 11:52:21","2020-11-12 16:01:18","A","B"
"CRI-Apomuden","SARI-Suyolo","SARI-Nyoriberi-gu","-0.8305383","10.83291","2020-08-03 09:28:19","2020-11-15 11:47:13","C","B"
"SARI-Tiemeh","SARI-Janlow","CRI-Dadanyuie","-0.8742183","10.82895","2020-08-01 15:37:43","2020-11-12 13:03:48","B","C"
"CRI-Okumkum","SARI-Diedi","CRI-Ligri","-0.9375817","10.76819","2020-08-10 08:14:33","2020-11-17 07:12:37","B","C"
"SARI-Tiemeh","CRI-Okumkum","SARI-Nan","-0.8830483","10.79039","2020-08-01 12:03:36","2020-11-14 09:20:40","C","B"
"SARI-Nan","CRI-Dadanyuie","SARI-Diedi","-0.8943333","10.77748","2020-08-10 07:20:31","2020-11-15 15:33:57","B","A"
"SARI-Janlow","SARI-Suyolo","CRI-Apomuden","-0.917315","10.77354","2020-08-10 07:55:06","2020-11-17 06:27:04","B","C"
"SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","CRI-Ligri","-0.8757517","10.83231","2020-08-03 13:25:51","2020-11-12 12:43:46","B","C"
"SARI-Diedi","SARI-Nyoriberi-gu","SARI-Janlow","-0.8141517","10.83671","2020-08-03 10:18:35","2020-11-10 15:34:43","B","A"
"SARI-Nan","SARI-Tiemeh","SARI-Nyumingre (Obare)","-0.8135883","10.83755","2020-08-03 09:57:51","2020-11-15 12:04:50","B","C"
"CRI-Apomuden","CRI-Dadanyuie","CRI-Okumkum","-0.8966017","10.77821","2020-08-02 15:25:59","2020-11-11 07:14:08","A","C"
"CRI-Okumkum","SARI-Nyumingre (Obare)","SARI-Diedi","-0.950815","10.82856","2020-08-02 13:18:29","2020-11-15 12:51:10","B","C"
"CRI-Dadanyuie","CRI-Ligri","SARI-Tiemeh","-0.9408917","10.82586","2020-08-02 13:50:24","2020-11-15 14:09:19","B","A"
"CRI-Apomuden","SARI-Diedi","SARI-Janlow","-0.8247267","10.81743","2020-08-03 12:05:05","2020-11-12 15:45:19","A","B"
"SARI-Nyoriberi-gu","CRI-Okumkum","CRI-Ligri","-0.8886917","10.78215","2020-08-01 10:54:38","2020-11-14 09:29:55","B","C"
"SARI-Diedi","SARI-Tiemeh","SARI-Nyoriberi-gu","-0.95242","10.83405","2020-08-02 11:29:34","2020-11-15 13:28:31","B","A"
"SARI-Nyumingre (Obare)","CRI-Dadanyuie","SARI-Suyolo","-0.876095","10.83225","2020-08-03 13:41:25","2020-11-12 12:36:04","A","B"
"SARI-Janlow","SARI-Nan","SARI-Nyumingre (Obare)","-0.8867867","10.78597","2020-08-01 11:21:45","2020-11-14 13:10:11","A","C"
"SARI-Tiemeh","CRI-Apomuden","CRI-Okumkum","-0.9151617","10.76854","2020-08-10 08:36:32","2020-11-17 06:48:55","B","A"
"SARI-Nan","CRI-Ligri","CRI-Dadanyuie","-0.8320883","10.81863","2020-08-03 11:15:44","2020-11-12 15:27:18","B","A"
"CRI-Okumkum","SARI-Suyolo","SARI-Diedi","-1.358683","10.68198","2020-08-04 16:36:13","2020-12-04 10:58:29","B","A"
"CRI-Ligri","SARI-Nyumingre (Obare)","SARI-Tiemeh","-1.255862","10.72471","2020-08-04 15:41:20","2020-12-04 16:44:11","B","A"
"CRI-Ligri","SARI-Diedi","SARI-Janlow","-1.078919","10.83067","2020-08-04 11:20:16","2020-12-03 12:33:24","B","A"
"CRI-Apomuden","SARI-Nyoriberi-gu","CRI-Okumkum","-1.289856","10.73443","2020-08-03 17:11:24","2020-12-04 10:36:28","B","A"
"SARI-Diedi","SARI-Tiemeh","SARI-Nan","-1.078919","10.83067","2020-08-04 11:26:37","2020-12-03 12:36:32","A","C"
"SARI-Nyoriberi-gu","SARI-Nyumingre (Obare)","CRI-Dadanyuie","-1.285971","10.6785","2020-08-03 15:46:05","2020-11-20 15:45:40","B","A"
"SARI-Janlow","SARI-Suyolo","SARI-Nan","-1.083341","10.89503","2020-08-04 11:46:50","2020-12-03 11:55:01","A","C"
"SARI-Nyumingre (Obare)","SARI-Janlow","CRI-Apomuden","-1.298607","10.66801","2020-08-03 15:58:51","2020-11-20 09:39:58","B","A"
"SARI-Suyolo","CRI-Okumkum","SARI-Tiemeh","-0.1383025","10.91402","2020-07-30 12:31:15","2020-11-13 10:22:55","A","C"
"CRI-Dadanyuie","SARI-Diedi","CRI-Ligri","-1.289856","10.73443","2020-08-03 17:24:20","2020-12-04 10:14:00","B","A"
"CRI-Okumkum","SARI-Nyoriberi-gu","SARI-Diedi","-1.273482","10.66908","2020-08-03 17:27:06","2020-12-04 09:41:28","C","B"
"SARI-Tiemeh","CRI-Apomuden","CRI-Ligri","-1.238375","10.76559","2020-08-04 14:29:55","2020-12-05 13:35:10","B","C"
"SARI-Nan","CRI-Dadanyuie","SARI-Suyolo","-1.290535","10.66803","2020-08-03 16:13:14","2020-11-19 22:47:20","B","A"
"SARI-Diedi","SARI-Tiemeh","SARI-Janlow","-1.093593","10.88871","2020-08-04 11:12:00","2020-12-03 11:15:26","B","C"
"SARI-Nyumingre (Obare)","CRI-Okumkum","CRI-Dadanyuie","-1.285422","10.66698","2020-08-03 16:20:53","2020-11-18 09:11:17","B","A"
"SARI-Suyolo","CRI-Dadanyuie","SARI-Nyoriberi-gu","-1.293038","10.66828","2020-08-03 16:07:47","2020-11-20 10:01:05","C","A"
"SARI-Tiemeh","SARI-Janlow","SARI-Suyolo","-1.08948","10.87025","2020-08-04 11:08:53","2020-12-03 11:30:27","B","C"
"CRI-Apomuden","CRI-Ligri","CRI-Okumkum","-1.281129","10.70876","2020-08-04 13:37:24","2020-12-04 08:19:40","B","A"
"CRI-Okumkum","SARI-Nyoriberi-gu","SARI-Janlow","-1.271201","10.73028","2020-08-04 13:20:56","2020-12-04 08:11:33","B","A"
"SARI-Nyoriberi-gu","CRI-Ligri","SARI-Tiemeh","-1.2706","10.7479","2020-09-08 12:18:39","2020-12-03 14:09:14","A","C"
"SARI-Suyolo","SARI-Diedi","CRI-Apomuden","-1.094894","10.88876","2020-08-04 12:14:37","2020-12-03 09:32:14","C","A"
"CRI-Dadanyuie","SARI-Tiemeh","SARI-Nan","-1.055615","10.90316","2020-08-03 12:11:02","2020-11-23 12:01:47","B","A"
"SARI-Nyoriberi-gu","SARI-Nyumingre (Obare)","CRI-Apomuden","-1.07874","10.8859","2020-08-12 12:07:53","2020-11-24 09:55:19","B","C"
"CRI-Ligri","SARI-Suyolo","SARI-Nan","-1.078745","10.88586","2020-08-12 11:40:26","2020-11-24 09:58:19","B","C"
"SARI-Janlow","CRI-Okumkum","SARI-Diedi","-0.1383032","10.91407","2020-07-30 12:21:34","2020-11-13 10:29:10","A","C"
"SARI-Tiemeh","SARI-Nyumingre (Obare)","CRI-Dadanyuie","-1.065783","10.8956","2020-08-12 15:38:36","2020-11-11 07:43:37","C","A"
"SARI-Nan","SARI-Janlow","SARI-Nyoriberi-gu","-0.1262323","10.98269","2020-08-04 14:51:50","2020-11-12 10:43:15","B","A"
"CRI-Dadanyuie","SARI-Suyolo","CRI-Okumkum","-0.071804","10.88435","2020-08-06 13:52:01","2020-11-16 12:27:43","A","C"
"SARI-Nyumingre (Obare)","CRI-Okumkum","SARI-Janlow","-0.1202955","10.98944","2020-08-04 14:05:01","2020-11-12 12:12:08","C","A"
"SARI-Nyoriberi-gu","SARI-Nan","CRI-Ligri","-0.1379266","10.91397","2020-08-04 12:04:50","2020-11-13 09:57:44","B","C"
"SARI-Suyolo","SARI-Diedi","SARI-Tiemeh","-0.1172484","10.97671","2020-08-06 13:00:45","2020-11-12 11:48:22","A","B"
"CRI-Ligri","CRI-Apomuden","SARI-Janlow","-0.1375137","10.91421","2020-08-04 12:18:45","2020-11-13 09:53:03","C","A"
"SARI-Tiemeh","SARI-Nyoriberi-gu","SARI-Nyumingre (Obare)","-0.1379014","10.91418","2020-08-04 11:52:03","2020-11-13 10:13:44","A","C"
"CRI-Apomuden","CRI-Ligri","SARI-Suyolo","-0.0718016","10.88434","2020-08-06 13:47:04","2020-11-16 12:22:21","A","C"
"CRI-Okumkum","SARI-Nan","CRI-Dadanyuie","-0.1350004","10.98157","2020-08-04 15:11:32","2020-11-12 11:34:23","B","C"
"SARI-Diedi","SARI-Nyumingre (Obare)","CRI-Apomuden","-0.134977","10.98171","2020-08-04 15:02:14","2020-11-12 09:46:48","C","A"
"CRI-Okumkum","SARI-Tiemeh","CRI-Ligri","-0.1394375","10.91637","2020-08-06 11:50:42","2020-11-13 10:56:43","B","A"
"SARI-Nyumingre (Obare)","SARI-Diedi","SARI-Nyoriberi-gu","-0.110895","10.8768","2020-08-04 16:19:54","2020-11-16 11:28:51","A","B"
"SARI-Janlow","CRI-Apomuden","CRI-Dadanyuie","-0.1262086","10.98269","2020-08-04 14:48:40","2020-11-12 10:34:27","A","C"
"SARI-Nan","SARI-Suyolo","CRI-Okumkum","-0.185719","10.88266","2020-08-06 11:20:50","2020-11-13 11:18:59","B","C"
"SARI-Tiemeh","SARI-Nyoriberi-gu","SARI-Nan","-0.1378214","10.91447","2020-08-18 08:51:17","2020-11-13 10:52:18","B","C"
"SARI-Diedi","SARI-Suyolo","SARI-Nyumingre (Obare)","-1.05561","10.90308","2020-08-03 11:42:33","2020-11-23 12:05:06","B","C"
"CRI-Dadanyuie","SARI-Janlow","CRI-Ligri","-0.1261347","10.98272","2020-08-04 14:45:24","2020-11-12 10:17:53","B","C"
"SARI-Nan","CRI-Apomuden","CRI-Okumkum","-1.06464","10.91018","2020-08-03 13:00:58","2020-11-23 11:39:59","B","C"
"SARI-Janlow","SARI-Nan","CRI-Dadanyuie","-1.202992","5.426135","2020-07-07 15:53:10","2020-12-07 15:51:05","B","A"
"PG17265-N1","SARI-Nyumingre (Obare)","CRI-Okumkum","-1.167202","5.400867","2020-07-17 12:35:01","2020-12-09 16:34:59","C","B"
"SARI-Tiemeh","PG17362-N1","PGN16021-39","-1.225859","5.697439","2020-07-30 09:17:37","2020-12-08 09:46:02","C","B"
"SARI-Nyoriberi-gu","PGA14011-13","PGA14008-15","-1.225207","5.674825","2020-07-30 08:05:36","2020-12-08 11:25:52","C","A"
"PG17362-N1","CRI-Apomuden","SARI-Nan","-1.23452","5.68553","2020-07-30 09:40:20","2020-12-08 08:34:07","A","C"
"SARI-Diedi","SARI-Suyolo","SARI-Nyoriberi-gu","-1.475242","5.418053","2020-07-07 13:14:45","2020-12-09 06:53:37","C","B"
"PGN16021-39","SARI-Janlow","PG17265-N1","-1.233073","5.399762","2020-07-08 09:16:38","2020-12-09 15:01:16","B","C"
"SARI-Nyumingre (Obare)","CRI-Dadanyuie","SARI-Janlow","-1.232668","5.39192","2020-07-08 10:49:29","2020-12-09 13:53:30","A","B"
"SARI-Suyolo","PG17265-N1","PG17362-N1","-1.504374","5.093753","2020-07-13 16:44:17","2020-12-06 12:42:43","A","C"
"CRI-Okumkum","SARI-Nyoriberi-gu","PGA14008-15","-1.504374","5.094729","2020-07-13 21:06:44","2021-01-02 13:24:21","B","C"
"PGA14011-13","SARI-Tiemeh","SARI-Nyumingre (Obare)","-1.504677","5.095379","2020-09-04 13:16:40","2021-01-02 13:32:52","A","C"
"SARI-Nan","PGN16021-39","SARI-Diedi","-1.504374","5.095055","2020-07-13 20:53:38","2020-12-09 16:35:13","B","C"
"SARI-Nyoriberi-gu","PGA14011-13","SARI-Suyolo","-1.504374","5.095055","2020-07-13 16:35:08","2020-11-30 16:30:56","B","C"
"PGA14008-15","CRI-Okumkum","PGN16021-39","-1.504677","5.095379","2020-07-13 21:08:50","2021-01-02 13:30:13","A","B"
"SARI-Tiemeh","PG17362-N1","CRI-Dadanyuie","-1.504677","5.09603","2020-07-13 20:58:03","2020-12-09 16:43:33","C","A"
"PG17362-N1","SARI-Nyumingre (Obare)","CRI-Apomuden","-1.504677","5.09603","2020-07-13 17:00:28","2020-12-06 12:52:15","C","B"
"SARI-Diedi","PGA14008-15","SARI-Tiemeh","-1.334369","5.141499","2020-07-17 15:30:07","2020-12-15 11:28:49","C","A"
"CRI-Dadanyuie","SARI-Nan","PGA14011-13","-1.467281","5.066372","2020-07-09 17:21:06","2020-12-09 09:15:14","C","A"
"CRI-Apomuden","SARI-Janlow","CRI-Okumkum","-1.471396","5.070904","2020-07-09 17:44:47","2020-12-09 09:30:47","C","A"
"PGN16021-39","CRI-Apomuden","PG17265-N1","-1.504677","5.09603","2020-07-13 20:46:49","2020-12-06 12:57:42","B","A"
"PGA14008-15","SARI-Nyoriberi-gu","SARI-Janlow","-1.475583","5.057691","2020-07-09 18:28:13","2020-12-09 16:51:01","B","C"
"PG17265-N1","SARI-Nyoriberi-gu","SARI-Nan","-1.481818","5.136787","2020-07-09 13:21:48","2020-12-08 14:16:21","A","B"
"CRI-Okumkum","SARI-Tiemeh","SARI-Suyolo","-1.480512","5.055563","2020-07-10 06:50:25","2020-12-09 08:26:57","B","A"
"SARI-Nyumingre (Obare)","PGN16021-39","SARI-Diedi","-1.474189","5.063372","2020-07-10 10:27:21","2020-12-09 09:00:53","C","A"
"PGA14011-13","CRI-Dadanyuie","PG17362-N1","-1.492379","5.160684","2020-07-09 14:03:08","2020-12-08 11:24:41","C","A"
"SARI-Suyolo","PG17265-N1","CRI-Dadanyuie","-1.483769","5.073198","2020-07-09 15:41:19","2020-12-09 10:00:08","A","C"
"SARI-Janlow","SARI-Diedi","PG17362-N1","-1.461334","5.104933","2020-07-09 10:12:35","2020-11-16 11:09:11","C","A"
"SARI-Nyumingre (Obare)","CRI-Okumkum","PGA14011-13","-1.334369","5.141499","2020-07-17 08:12:03","2020-12-15 11:23:08","C","A"
"SARI-Tiemeh","SARI-Nan","PGA14008-15","-1.419117","5.087232","2020-07-09 11:48:36","2020-11-13 07:40:47","C","B"
"CRI-Apomuden","PGN16021-39","SARI-Nyoriberi-gu","-1.483679","5.073217","2020-07-09 15:28:21","2020-12-09 10:06:54","A","C"
"SARI-Nyoriberi-gu","CRI-Dadanyuie","SARI-Suyolo","-1.222667","5.131304","2020-07-13 17:09:17","2020-11-23 15:17:24","A","C"
"PG17265-N1","SARI-Tiemeh","SARI-Nyumingre (Obare)","-1.222687","5.131309","2020-07-13 16:29:20","2020-11-25 11:01:35","A","B"
"CRI-Okumkum","CRI-Apomuden","PGA14011-13","-1.223865","5.126581","2020-07-13 16:19:17","2020-11-18 13:10:09","A","C"
