"item_A","item_B","item_C","lon","lat","start","end","overall_pos","overall_neg"
"CRI-Dadanyuie","CRI-Ligri","SARI-Nyumingre (Obare)","-0.9900233","9.558313","2020-06-24 10:00:45","2020-11-11 06:51:25","C","A"
"CRI-Ligri","PGN16021-39","SARI-Tiemeh","-0.9923917","9.54395","2020-07-02 13:52:02","2020-11-11 08:41:35","A","B"
"SARI-Nyoriberi-gu","PG17362-N1","CRI-Okumkum","-0.9868583","9.558008","2020-07-07 10:25:15","2020-11-16 07:27:29","C","A"
"SARI-Janlow","PG17305-N1","PG17265-N1","-0.9855517","9.558247","2020-07-02 13:26:15","2020-11-11 09:17:59","A","C"
"CRI-Apomuden","SARI-Diedi","PGN16021-39","-1.006863","9.594567","2020-06-29 12:20:14","2020-11-19 07:03:05","A","C"
"SARI-Nyumingre (Obare)","CRI-Okumkum","SARI-Nan","-1.006885","9.594562","2020-06-29 12:24:20","2020-11-19 07:06:43","B","C"
"SARI-Tiemeh","SARI-Suyolo","CRI-Ligri","-1.006922","9.594535","2020-06-29 12:26:30","2020-11-19 07:09:02","C","A"
"PG17265-N1","SARI-Nyumingre (Obare)","CRI-Dadanyuie","-1.008503","9.620907","2020-07-07 10:51:00","2020-11-16 08:20:49","B","C"
"CRI-Okumkum","SARI-Nyoriberi-gu","SARI-Janlow","-1.008468","9.620992","2020-07-07 10:52:49","2020-11-16 08:17:28","B","C"
"CRI-Dadanyuie","PGN16021-39","CRI-Ligri","-1.008428","9.620928","2020-07-07 10:55:38","2020-11-16 08:12:08","A","C"
"SARI-Diedi","SARI-Suyolo","PG17362-N1","-1.017288","9.643443","2020-07-07 11:19:30","2020-11-12 09:12:47","B","C"
"CRI-Ligri","CRI-Okumkum","CRI-Apomuden","-0.960595","9.649373","2020-06-24 14:52:57","2020-11-12 07:06:08","A","C"
"PG17362-N1","SARI-Nan","SARI-Nyoriberi-gu","-0.9604633","9.650347","2020-07-02 14:59:40","2020-11-12 07:19:26","B","A"
"PG17305-N1","PGN16021-39","SARI-Suyolo","-0.9598183","9.648617","2020-07-02 14:56:58","2020-11-12 07:02:05","A","B"
"SARI-Janlow","PG17265-N1","CRI-Apomuden","-1.006242","9.57656","2020-06-24 12:06:47","2020-11-09 09:26:11","C","A"
"CRI-Okumkum","CRI-Dadanyuie","SARI-Diedi","-1.010163","9.575763","2020-06-24 11:59:34","2020-11-09 09:21:10","A","C"
"SARI-Tiemeh","CRI-Dadanyuie","PG17305-N1","-1.010015","9.575948","2020-07-07 12:04:58","2020-11-09 09:29:06","B","C"
"CRI-Ligri","SARI-Diedi","SARI-Janlow","-0.9376367","9.578185","2020-06-24 14:19:14","2020-11-12 08:05:01","C","A"
"SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","PGN16021-39","-0.937075","9.57963","2020-07-02 15:46:55","2020-11-16 09:12:53","B","C"
"PG17265-N1","CRI-Apomuden","SARI-Suyolo","-0.9372117","9.578232","2020-06-24 14:21:50","2020-11-12 08:00:11","A","C"
"SARI-Nan","SARI-Tiemeh","PG17362-N1","-0.937215","9.578267","2020-07-02 15:48:47","2020-11-12 07:50:39","B","C"
"SARI-Tiemeh","PG17305-N1","CRI-Apomuden","-0.62177","9.884028","2020-07-16 09:11:18","2020-12-14 11:01:32","A","C"
"SARI-Suyolo","SARI-Nyoriberi-gu","PGN16021-39","-0.6217974","9.884062","2020-07-16 12:44:55","2020-12-14 11:14:41","B","C"
"PG17362-N1","SARI-Nan","SARI-Nyumingre (Obare)","-0.638245","9.884517","2020-07-21 11:20:58","2020-11-30 10:19:16","B","C"
"SARI-Janlow","PG17265-N1","CRI-Ligri","-0.621805","9.884067","2020-07-16 12:36:29","2020-12-14 11:16:39","B","C"
