_geopoint,_longitude,_latitude,_elevation,_precision,householdid,country,District,sublocation,village
-1.4796150000000001 30.013606666666668 2154.5 9.7,30.01360667,-1.479615,2154.5,9.7,137,Rwanda,Gicumbi,Cyumba,Remera
-1.47901 30.010755000000003 2152.7 6.4,30.010755,-1.47901,2152.7,6.4,138,Rwanda,Gicumbi,Cyumba,Remera
-1.4906497 30.0046511 2200.0 8.406,30.0046511,-1.4906497,2200,8.406,139,Rwanda,Gicumbi,Cyumba,Gipande
-1.4929000000000001 30.02193333333333 2064.8 7.0,30.02193333,-1.4929,2064.8,7,140,Rwanda,Gicumbi,Cyumba,Murore
-1.5254343 29.9751021 2314.0 6.75,29.9751021,-1.5254343,2314,6.75,141,Rwanda,Gicumbi,Manyagiro,Kiyovu
-1.5199638 29.9914922 2214.0 9.0,29.9914922,-1.5199638,2214,9,142,Rwanda,Gicumbi,Manyagiro,Nyamyumba
-1.5362997 29.9803462 2320.0 7.026,29.9803462,-1.5362997,2320,7.026,143,Rwanda,Gicumbi,Manyagiro,Shyigura
-1.5237283333333331 29.974376666666664 2294.5 8.2,29.97437667,-1.523728333,2294.5,8.2,144,Rwanda,Gicumbi,Manyagiro,Kiyovu
-1.5370750000000002 29.977798333333332 2323.2 8.2,29.97779833,-1.537075,2323.2,8.2,145,Rwanda,Gicumbi,Manyagiro,Shyigura
-1.5195104 29.9931025 2193.0 10.0,29.9931025,-1.5195104,2193,10,147,Rwanda,Gicumbi,Manyagiro,Nyamyumba
-1.5197999999999998 29.994338333333335 2222.7 8.3,29.99433833,-1.5198,2222.7,8.3,148,Rwanda,Gicumbi,Manyagiro,Nyamyumba
-1.5362612 29.9784449 2309.0 8.8,29.9784449,-1.5362612,2309,8.8,149,Rwanda,Gicumbi,Manyagiro,Shyigura
-1.5372966666666665 29.981141666666666 2306.3 3.6,29.98114167,-1.537296667,2306.3,3.6,150,Rwanda,Gicumbi,Manyagiro,Shyigura
