"node","x","y","layer","MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII","maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p","best3","rules"
2,-2.79071654,7.22463874,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-3.04071656,7.39130542,1,4,60,8,5,77.98,115.96,198.45,77.98,610.88,7.38464285714286,30.86,26,23.53,19.31,7,20,0,0,3,4,20.693,30.321,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.2907165,7.22463874,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.87404988,7.39130542,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.45738318,7.22463874,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.37404984,7.22463874,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.45738318,6.89130538,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,5.64130528,1,5,65,16,6,30.23,91.96,127.78,30.23,669.52,8.41037037037037,30.69,26.2,23.94,19.9,6,15,0,0,2,5,21.264,30.073,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.2907165,6.89130538,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-1.95738314,7.22463874,1,5,46,11,5,75.3,109.6,199.8,75.3,584.44,7.65307692307692,30.76,26.69,23.12,19.75,7,23,0,0,3,3,20.745,30.265,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.37404984,7.39130542,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.45738318,6.80797204,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.12404982,7.30797208,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.2907165,6.80797204,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,5.22463858,1,7,65,13,2,22.11,80.4,90.55,22.11,541.7,6.64168674698795,29.98,26.22,25.12,21.43,4,0,2,0,3,5,22.459,29.352,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.45738318,6.97463872,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-1.79071646,7.39130542,1,5,46,11,5,75.3,109.6,199.8,75.3,584.44,7.65307692307692,30.76,26.69,23.12,19.75,7,23,0,0,3,3,20.745,30.265,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.04071648,6.97463872,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.87404988,5.39130526,1,7,65,13,2,22.11,80.4,90.55,22.11,541.7,6.64168674698795,29.98,26.22,25.12,21.43,4,0,2,0,3,5,22.459,29.352,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.20738316,6.64130536,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.2907165,7.1413054,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.87404988,5.64130528,1,5,65,16,6,30.23,91.96,127.78,30.23,669.52,8.41037037037037,30.69,26.2,23.94,19.9,6,15,0,0,2,5,21.264,30.073,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.04071648,7.1413054,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.7073832,7.30797208,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,7.47463876,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.37404984,6.80797204,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.79071654,7.47463876,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,6.89130538,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-3.04071656,5.72463862,1,5,65,15,6,28.73,87.09,120.75,28.73,650.12,8.16901234567901,30.53,26.15,24.66,20.5,6,8,0,0,2,5,21.526,29.921,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.79071654,6.89130538,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,5.72463862,1,5,65,16,6,30.23,91.96,127.78,30.23,669.52,8.41037037037037,30.69,26.2,23.94,19.9,6,15,0,0,2,5,21.264,30.073,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.87404988,5.72463862,1,5,65,16,6,30.23,91.96,127.78,30.23,669.52,8.41037037037037,30.69,26.2,23.94,19.9,6,15,0,0,2,5,21.264,30.073,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-1.95738314,7.30797208,1,5,46,11,5,75.3,109.6,199.8,75.3,584.44,7.65307692307692,30.76,26.69,23.12,19.75,7,23,0,0,3,3,20.745,30.265,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-1.8740498,7.30797208,1,5,46,11,5,75.3,109.6,199.8,75.3,584.44,7.65307692307692,30.76,26.69,23.12,19.75,7,23,0,0,3,3,20.745,30.265,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.37404984,6.89130538,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.04071648,7.47463876,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,5.30797192,1,7,65,13,2,22.11,80.4,90.55,22.11,541.7,6.64168674698795,29.98,26.22,25.12,21.43,4,0,2,0,3,5,22.459,29.352,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-3.04071656,7.22463874,1,4,60,8,5,77.98,115.96,198.45,77.98,610.88,7.38464285714286,30.86,26,23.53,19.31,7,20,0,0,3,4,20.693,30.321,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.87404988,7.47463876,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.20738316,7.05797206,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,6.64130536,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.7073832,7.22463874,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,7.39130542,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.54071652,7.22463874,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-3.04071656,6.80797204,1,5,73,14,5,66.16,110.44,197.58,66.16,671.13,8.19915662650602,31.21,26.49,23.46,19.35,7,19,0,0,2,4,20.744,30.231,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.54071652,6.64130536,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-3.04071656,5.64130528,1,5,65,15,6,28.73,87.09,120.75,28.73,650.12,8.16901234567901,30.53,26.15,24.66,20.5,6,8,0,0,2,5,21.526,29.921,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.79071654,6.80797204,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.7073832,6.80797204,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.62404986,6.80797204,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
